image,row,col,x,y,brightness,brightness_pct,Power_uW
Analysis_image-Stitched_-9,14,17,3225,3033,65.55,25.7,57.74937957
Analysis_image-Stitched_-9,14,18,3394,3132,64.65,25.4,56.95648191
Analysis_image-Stitched_-9,14,19,3564,3023,65.91,25.8,58.06653863
Analysis_image-Stitched_-9,14,20,3734,3119,62.6,24.5,55.15043724
Analysis_image-Stitched_-9,14,21,3906,3017,63.74,25.0,56.15477428
Analysis_image-Stitched_-9,14,22,4069,3128,61.83,24.2,54.47206924
Analysis_image-Stitched_-9,14,23,4243,3017,62.78,24.6,55.30901677
Analysis_image-Stitched_-9,14,24,4414,3106,61.91,24.3,54.54254903
Analysis_image-Stitched_-9,15,1,337,3377,59.18,23.2,52.13742613
Analysis_image-Stitched_-9,15,2,508,3278,61.04,23.9,53.7760813
Analysis_image-Stitched_-9,15,3,663,3386,9.3,3.6,8.19327582
Analysis_image-Stitched_-9,15,4,848,3270,62.99,24.7,55.49402623
Analysis_image-Stitched_-9,15,5,1016,3364,60.09,23.6,52.93913377
Analysis_image-Stitched_-9,15,6,1171,3254,11.38,4.5,10.02575041
Analysis_image-Stitched_-9,15,7,1361,3358,61.89,24.3,54.52492909
Analysis_image-Stitched_-9,15,8,1528,3256,61.75,24.2,54.40158945
Analysis_image-Stitched_-9,15,9,1697,3366,62.78,24.6,55.30901677
Analysis_image-Stitched_-9,15,10,1867,3250,63.64,25.0,56.06667454
Analysis_image-Stitched_-9,15,11,2039,3345,61.82,24.2,54.46325927
Analysis_image-Stitched_-9,15,12,2203,3225,10.6,4.2,9.33857244
Analysis_image-Stitched_-9,15,13,2528,3219,10.35,4.1,9.11832309
Analysis_image-Stitched_-9,15,14,2720,3336,63.64,25.0,56.06667454
Analysis_image-Stitched_-9,15,15,2890,3236,66.39,26.0,58.48941739
Analysis_image-Stitched_-9,15,16,3063,3343,65.78,25.8,57.95200897
Analysis_image-Stitched_-9,15,17,3228,3225,65.3,25.6,57.52913022
Analysis_image-Stitched_-9,15,18,3402,3324,63.93,25.1,56.32216378
Analysis_image-Stitched_-9,15,19,3555,3200,12.81,5.0,11.28557669
Analysis_image-Stitched_-9,15,20,3742,3320,61.07,23.9,53.80251122
Analysis_image-Stitched_-9,15,21,3901,3214,61.89,24.3,54.52492909
