image,row,col,x,y,brightness,brightness_pct,Power_uW
Analysis_image-Stitched_-9,3,15,2839,877,70.62,27.7,62.21603639
Analysis_image-Stitched_-9,3,16,3001,794,70.88,27.8,62.44509571
Analysis_image-Stitched_-9,3,17,3174,877,71.42,28.0,62.92083431
Analysis_image-Stitched_-9,3,18,3343,775,70.34,27.6,61.96935712
Analysis_image-Stitched_-9,3,19,3521,866,71.25,27.9,62.77106475
Analysis_image-Stitched_-9,3,20,3685,765,72.98,28.6,64.29519025
Analysis_image-Stitched_-9,3,21,3856,864,71.85,28.2,63.29966319
Analysis_image-Stitched_-9,3,22,4029,776,69.99,27.4,61.66100803
Analysis_image-Stitched_-9,3,23,4202,858,71.25,27.9,62.77106475
Analysis_image-Stitched_-9,3,24,4369,750,67.94,26.6,59.85496336
Analysis_image-Stitched_-9,4,1,285,1021,64.25,25.2,56.60408295
Analysis_image-Stitched_-9,4,2,465,1118,66.28,26.0,58.39250767
Analysis_image-Stitched_-9,4,3,633,1034,66.87,26.2,58.91229614
Analysis_image-Stitched_-9,4,4,798,1113,69.01,27.1,60.79763057
Analysis_image-Stitched_-9,4,5,969,1009,68.71,26.9,60.53333135
Analysis_image-Stitched_-9,4,6,1139,1106,68.2,26.7,60.08402268
Analysis_image-Stitched_-9,4,7,1306,1003,69.4,27.2,61.14121956
Analysis_image-Stitched_-9,4,8,1479,1097,68.98,27.1,60.77120065
Analysis_image-Stitched_-9,4,9,1646,1013,69.4,27.2,61.14121956
Analysis_image-Stitched_-9,4,10,1821,1095,70.26,27.6,61.89887732
Analysis_image-Stitched_-9,4,11,1989,990,69.55,27.3,61.27336917
Analysis_image-Stitched_-9,4,12,2158,1084,68.25,26.8,60.12807255
Analysis_image-Stitched_-9,4,13,2501,1080,68.81,27.0,60.62143109
Analysis_image-Stitched_-9,4,14,2670,978,69.29,27.2,61.04430985
Analysis_image-Stitched_-9,4,15,2838,1075,70.33,27.6,61.96054714
Analysis_image-Stitched_-9,4,16,3009,990,70.71,27.7,62.29532615
Analysis_image-Stitched_-9,4,17,3185,1069,71.46,28.0,62.9560742
Analysis_image-Stitched_-9,4,18,3349,964,70.89,27.8,62.45390569
Analysis_image-Stitched_-9,4,19,3527,1062,72.01,28.2,63.44062277
Analysis_image-Stitched_-9,4,20,3690,960,70.0,27.5,61.669818
Analysis_image-Stitched_-9,4,21,3862,1058,71.55,28.1,63.03536397
Analysis_image-Stitched_-9,4,22,4033,972,71.46,28.0,62.9560742
Analysis_image-Stitched_-9,4,23,4203,1053,71.43,28.0,62.92964428
Analysis_image-Stitched_-9,4,24,4371,952,68.23,26.8,60.1104526
Analysis_image-Stitched_-9,5,1,287,1217,63.46,24.9,55.908095
Analysis_image-Stitched_-9,5,2,464,1314,65.05,25.5,57.30888087
Analysis_image-Stitched_-9,5,3,637,1235,10.36,4.1,9.12713306
Analysis_image-Stitched_-9,5,4,801,1306,67.89,26.6,59.81091349
Analysis_image-Stitched_-9,5,5,974,1206,68.5,26.9,60.3483219
Analysis_image-Stitched_-9,5,6,1142,1300,67.81,26.6,59.74043369
Analysis_image-Stitched_-9,5,7,1312,1202,69.48,27.2,61.21169935
Analysis_image-Stitched_-9,5,8,1485,1293,68.26,26.8,60.13688252
Analysis_image-Stitched_-9,5,9,1643,1209,11.04,4.3,9.7262113
Analysis_image-Stitched_-9,5,10,1824,1294,69.51,27.3,61.23812927
Analysis_image-Stitched_-9,5,11,1990,1191,69.62,27.3,61.33503899
Analysis_image-Stitched_-9,5,12,2162,1283,67.97,26.7,59.88139328
Analysis_image-Stitched_-9,5,13,2507,1276,69.14,27.1,60.91216024
Analysis_image-Stitched_-9,5,14,2673,1173,70.41,27.6,62.03102693
Analysis_image-Stitched_-9,5,15,2849,1273,70.03,27.5,61.69624792
Analysis_image-Stitched_-9,5,16,3008,1202,10.63,4.2,9.36500236
Analysis_image-Stitched_-9,5,17,3186,1263,70.59,27.7,62.18960647
Analysis_image-Stitched_-9,5,18,3350,1160,71.92,28.2,63.36133301
Analysis_image-Stitched_-9,5,19,3525,1258,71.35,28.0,62.85916449
Analysis_image-Stitched_-9,5,20,3694,1162,70.97,27.8,62.52438548
